NOMBRE_PASO_PE;HORA;SOLAR;EOLICO;;;;;;
108;6;2.03E-05;0.03440313;;;;;;
108;7;0.051717424;0.041918781;;;;;;
108;8;0.253790573;0.028117642;;;;;;
108;9;0.43616194;0.021106899;;;;;;
108;10;0.574245437;0.017323768;;;;;;
108;11;0.708505923;0.019227213;;;;;;
108;12;0.751208997;0.02100434;;;;;;
108;13;0.728553272;0.029614953;;;;;;
108;14;0.578874752;0.033301437;;;;;;
108;15;0.451236733;0.030512692;;;;;;
108;16;0.328654634;0.02768156;;;;;;
108;17;0.061853482;0.047278167;;;;;;
108;18;0.002073165;0.076270945;;;;;;
108;19;0;0.113470972;;;;;;
108;20;0;0.148204275;;;;;;
108;21;0;0.198743032;;;;;;
108;22;0;0.296295426;;;;;;
108;23;0;0.356408211;;;;;;
109;0;0;0.458980112;;;;;;
109;1;0;0.351526317;;;;;;
109;2;0;0.317274315;;;;;;
109;3;0;0.281088098;;;;;;
109;4;0;0.272531448;;;;;;
109;5;0;0.138996827;;;;;;
109;6;0;0.154975885;;;;;;
109;7;0.011284313;0.13163888;;;;;;
109;8;0.083314617;0.155338828;;;;;;
109;9;0.181093047;0.151479863;;;;;;
109;10;0.238498028;0.100342306;;;;;;
109;11;0.582710561;0.154773727;;;;;;
109;12;0.791701429;0.247082707;;;;;;
109;13;0.786580982;0.275222469;;;;;;
109;14;0.718137713;0.261594768;;;;;;
109;15;0.566301866;0.261442217;;;;;;
109;16;0.355082946;0.24763693;;;;;;
109;17;0.172418416;0.203188988;;;;;;
109;18;0.006203292;0.227947408;;;;;;
109;19;0;0.196250261;;;;;;
109;20;0;0.138403815;;;;;;
109;21;0;0.142927208;;;;;;
109;22;0;0.109343917;;;;;;
109;23;0;0.112654149;;;;;;
110;0;0;0.086107026;;;;;;
110;1;0;0.069807905;;;;;;
110;2;0;0.070828731;;;;;;
110;3;0;0.080446907;;;;;;
110;4;0;0.110917032;;;;;;
110;5;0;0.119083459;;;;;;
110;6;5.29E-06;0.167623875;;;;;;
110;7;0.046893921;0.210303612;;;;;;
110;8;0.296198167;0.252655696;;;;;;
110;9;0.507795992;0.178770982;;;;;;
110;10;0.653899073;0.104387961;;;;;;
110;11;0.740825898;0.149138523;;;;;;
110;12;0.804507661;0.199195153;;;;;;
110;13;0.733652106;0.210081402;;;;;;
110;14;0.67676389;0.196468103;;;;;;
110;15;0.542669108;0.241071428;;;;;;
110;16;0.364223796;0.200422402;;;;;;
110;17;0.158776712;0.154857795;;;;;;
110;18;0.007364961;0.175268921;;;;;;
110;19;0;0.183211606;;;;;;
110;20;0;0.207389445;;;;;;
110;21;0;0.227609669;;;;;;
110;22;0;0.208127892;;;;;;
110;23;0;0.217349289;;;;;;
111;0;0;0.287371639;;;;;;
