DEMANDA_TOTAL;FACTOR_SOLAR;FACTOR_EOLICO;POTENCIA_SOLAR;POTENCIA_EOLICA;DEMANDA_RESIDUAL;DEMANDA_RESIDUAL_POSITIVA
841;0;0.60694029;0;910.410435;-69.410435;0
823;0;0.575948488;0;863.922732;-40.922732;0
823;0;0.566151541;0;849.2273115;-26.2273115;0
851;0;0.501102416;0;751.653624;99.346376;99.346376
923;2.33E-06;0.48641098;0.0005825;729.61647;193.3829475;193.3829475
1040;0.018282178;0.453795335;4.5705445;680.6930025;354.736453;354.736453
1069;0.146232113;0.397083731;36.55802825;595.6255965;436.8163753;436.8163753
1119;0.325504841;0.257300046;81.37621025;385.950069;651.6737208;651.6737208
1143;0.511544785;0.136727541;127.8861963;205.0913115;810.0224923;810.0224923
1171;0.510720206;0.085212155;127.6800515;127.8182325;915.501716;915.501716
1185;0.612787079;0.091749777;153.1967698;137.6246655;894.1785648;894.1785648
1160;0.594701868;0.127158294;148.675467;190.737441;820.587092;820.587092
1147;0.490551318;0.125102762;122.6378295;187.654143;836.7080275;836.7080275
1149;0.386562526;0.110449078;96.6406315;165.673617;886.6857515;886.6857515
1136;0.319416467;0.094410932;79.85411675;141.616398;914.5294853;914.5294853
1135;0.121600119;0.046632149;30.40002975;69.9482235;1034.651747;1034.651747
1183;0.005398087;0.064820005;1.34952175;97.2300075;1084.420471;1084.420471
1341;0;0.090091293;0;135.1369395;1205.863061;1205.863061
1354;0;0.098990503;0;148.4857545;1205.514246;1205.514246
1326;0;0.067415451;0;101.1231765;1224.876824;1224.876824
1242;0;0.109217431;0;163.8261465;1078.173854;1078.173854
1103;0;0.095401478;0;143.102217;959.897783;959.897783
981;0;0.060790705;0;91.1860575;889.8139425;889.8139425
